"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"15354","Native 1",45,"continuation","rp",1,687,-0.5,"continuation rp",0,687,0.5,-0.5
"15355","Native 1",29,"continuation","rp",1,1421,-0.5,"continuation rp",0,1421,0.5,-0.5
"15358","Native 1",34,"continuation","rp",2,881,-0.5,"continuation rp",0,881,-0.5,-0.5
"15361","Native 1",36,"continuation","rp",4,375,-0.5,"continuation rp",0,375,-0.5,0.5
"15363","Native 1",25,"continuation","rp",1,457,-0.5,"continuation rp",0,457,0.5,-0.5
"15365","Native 1",42,"continuation","rp",2,566,-0.5,"continuation rp",0,566,-0.5,-0.5
"15369","Native 1",41,"continuation","rp",1,1012,-0.5,"continuation rp",0,1012,0.5,-0.5
"15371","Native 1",46,"continuation","rp",2,849,-0.5,"continuation rp",0,849,-0.5,-0.5
"15373","Native 1",47,"continuation","rp",3,1753,-0.5,"continuation rp",0,1753,0.5,0.5
"15375","Native 1",39,"continuation","rp",3,663,-0.5,"continuation rp",0,663,0.5,0.5
"15376","Native 1",35,"continuation","rp",3,1183,-0.5,"continuation rp",0,1183,0.5,0.5
"15378","Native 1",48,"continuation","rp",4,928,-0.5,"continuation rp",0,928,-0.5,0.5
"15379","Native 1",27,"continuation","rp",3,478,-0.5,"continuation rp",0,478,0.5,0.5
"15381","Native 1",31,"continuation","rp",3,291,-0.5,"continuation rp",0,291,0.5,0.5
"15384","Native 1",40,"continuation","rp",4,206,-0.5,"continuation rp",0,206,-0.5,0.5
"15385","Native 1",38,"continuation","rp",2,272,-0.5,"continuation rp",0,272,-0.5,-0.5
"15386","Native 1",30,"continuation","rp",2,1175,-0.5,"continuation rp",0,1175,-0.5,-0.5
"15388","Native 1",32,"continuation","rp",4,439,-0.5,"continuation rp",0,439,-0.5,0.5
"15392","Native 1",44,"continuation","rp",4,957,-0.5,"continuation rp",0,957,-0.5,0.5
"15393","Native 1",37,"continuation","rp",1,1381,-0.5,"continuation rp",0,1381,0.5,-0.5
"15394","Native 1",28,"continuation","rp",4,265,-0.5,"continuation rp",0,265,-0.5,0.5
"15397","Native 1",26,"continuation","rp",2,846,-0.5,"continuation rp",0,846,-0.5,-0.5
"15398","Native 1",33,"continuation","rp",1,837,-0.5,"continuation rp",0,837,0.5,-0.5
"15400","Native 1",43,"continuation","rp",3,454,-0.5,"continuation rp",0,454,0.5,0.5
"15401","Native 2",45,"continuation","rp",2,0,-0.5,"continuation rp",1,NA,-0.5,-0.5
"15402","Native 2",39,"continuation","rp",4,378,-0.5,"continuation rp",0,378,-0.5,0.5
"15403","Native 2",48,"continuation","rp",1,383,-0.5,"continuation rp",0,383,0.5,-0.5
"15409","Native 2",32,"continuation","rp",1,1077,-0.5,"continuation rp",0,1077,0.5,-0.5
"15410","Native 2",26,"continuation","rp",3,658,-0.5,"continuation rp",0,658,0.5,0.5
"15411","Native 2",42,"continuation","rp",3,1257,-0.5,"continuation rp",0,1257,0.5,0.5
"15414","Native 2",37,"continuation","rp",2,7330,-0.5,"continuation rp",0,7330,-0.5,-0.5
"15415","Native 2",31,"continuation","rp",4,1160,-0.5,"continuation rp",0,1160,-0.5,0.5
"15418","Native 2",25,"continuation","rp",2,0,-0.5,"continuation rp",1,NA,-0.5,-0.5
"15419","Native 2",38,"continuation","rp",3,269,-0.5,"continuation rp",0,269,0.5,0.5
"15420","Native 2",35,"continuation","rp",4,8702,-0.5,"continuation rp",0,8702,-0.5,0.5
"15421","Native 2",41,"continuation","rp",2,330,-0.5,"continuation rp",0,330,-0.5,-0.5
"15423","Native 2",34,"continuation","rp",3,292,-0.5,"continuation rp",0,292,0.5,0.5
"15424","Native 2",43,"continuation","rp",4,275,-0.5,"continuation rp",0,275,-0.5,0.5
"15426","Native 2",33,"continuation","rp",2,1030,-0.5,"continuation rp",0,1030,-0.5,-0.5
"15427","Native 2",40,"continuation","rp",1,632,-0.5,"continuation rp",0,632,0.5,-0.5
"15430","Native 2",30,"continuation","rp",3,478,-0.5,"continuation rp",0,478,0.5,0.5
"15431","Native 2",27,"continuation","rp",4,552,-0.5,"continuation rp",0,552,-0.5,0.5
"15434","Native 2",36,"continuation","rp",1,443,-0.5,"continuation rp",0,443,0.5,-0.5
"15435","Native 2",28,"continuation","rp",1,854,-0.5,"continuation rp",0,854,0.5,-0.5
"15439","Native 2",44,"continuation","rp",1,868,-0.5,"continuation rp",0,868,0.5,-0.5
"15440","Native 2",29,"continuation","rp",2,1135,-0.5,"continuation rp",0,1135,-0.5,-0.5
"15444","Native 2",47,"continuation","rp",4,1924,-0.5,"continuation rp",0,1924,-0.5,0.5
"15446","Native 2",46,"continuation","rp",3,960,-0.5,"continuation rp",0,960,0.5,0.5
"15449","Native 3",46,"continuation","rp",4,674,-0.5,"continuation rp",0,674,-0.5,0.5
"15450","Native 3",43,"continuation","rp",1,695,-0.5,"continuation rp",0,695,0.5,-0.5
"15452","Native 3",39,"continuation","rp",1,781,-0.5,"continuation rp",0,781,0.5,-0.5
"15453","Native 3",33,"continuation","rp",3,1114,-0.5,"continuation rp",0,1114,0.5,0.5
"15455","Native 3",31,"continuation","rp",1,694,-0.5,"continuation rp",0,694,0.5,-0.5
"15456","Native 3",29,"continuation","rp",3,393,-0.5,"continuation rp",0,393,0.5,0.5
"15457","Native 3",44,"continuation","rp",2,498,-0.5,"continuation rp",0,498,-0.5,-0.5
"15462","Native 3",27,"continuation","rp",1,842,-0.5,"continuation rp",0,842,0.5,-0.5
"15465","Native 3",45,"continuation","rp",3,605,-0.5,"continuation rp",0,605,0.5,0.5
"15466","Native 3",37,"continuation","rp",3,482,-0.5,"continuation rp",0,482,0.5,0.5
"15467","Native 3",36,"continuation","rp",2,0,-0.5,"continuation rp",1,NA,-0.5,-0.5
"15468","Native 3",32,"continuation","rp",2,1310,-0.5,"continuation rp",0,1310,-0.5,-0.5
"15469","Native 3",25,"continuation","rp",3,343,-0.5,"continuation rp",0,343,0.5,0.5
"15470","Native 3",26,"continuation","rp",4,340,-0.5,"continuation rp",0,340,-0.5,0.5
"15471","Native 3",30,"continuation","rp",4,296,-0.5,"continuation rp",0,296,-0.5,0.5
"15472","Native 3",28,"continuation","rp",2,1179,-0.5,"continuation rp",0,1179,-0.5,-0.5
"15476","Native 3",47,"continuation","rp",1,1093,-0.5,"continuation rp",0,1093,0.5,-0.5
"15482","Native 3",48,"continuation","rp",2,1238,-0.5,"continuation rp",0,1238,-0.5,-0.5
"15484","Native 3",34,"continuation","rp",4,395,-0.5,"continuation rp",0,395,-0.5,0.5
"15485","Native 3",38,"continuation","rp",4,967,-0.5,"continuation rp",0,967,-0.5,0.5
"15486","Native 3",42,"continuation","rp",4,358,-0.5,"continuation rp",0,358,-0.5,0.5
"15487","Native 3",35,"continuation","rp",1,708,-0.5,"continuation rp",0,708,0.5,-0.5
"15491","Native 3",40,"continuation","rp",2,1214,-0.5,"continuation rp",0,1214,-0.5,-0.5
"15494","Native 3",41,"continuation","rp",3,654,-0.5,"continuation rp",0,654,0.5,0.5
"15499","Native 4",39,"continuation","rp",2,1773,-0.5,"continuation rp",0,1773,-0.5,-0.5
"15500","Native 4",27,"continuation","rp",2,1027,-0.5,"continuation rp",0,1027,-0.5,-0.5
"15503","Native 4",40,"continuation","rp",3,155,-0.5,"continuation rp",0,155,0.5,0.5
"15504","Native 4",38,"continuation","rp",1,1352,-0.5,"continuation rp",0,1352,0.5,-0.5
"15506","Native 4",37,"continuation","rp",4,1056,-0.5,"continuation rp",0,1056,-0.5,0.5
"15509","Native 4",26,"continuation","rp",1,1300,-0.5,"continuation rp",0,1300,0.5,-0.5
"15512","Native 4",33,"continuation","rp",4,693,-0.5,"continuation rp",0,693,-0.5,0.5
"15513","Native 4",47,"continuation","rp",2,2128,-0.5,"continuation rp",0,2128,-0.5,-0.5
"15516","Native 4",45,"continuation","rp",4,581,-0.5,"continuation rp",0,581,-0.5,0.5
"15517","Native 4",36,"continuation","rp",3,175,-0.5,"continuation rp",0,175,0.5,0.5
"15518","Native 4",46,"continuation","rp",1,1163,-0.5,"continuation rp",0,1163,0.5,-0.5
"15521","Native 4",35,"continuation","rp",2,1131,-0.5,"continuation rp",0,1131,-0.5,-0.5
"15522","Native 4",48,"continuation","rp",3,502,-0.5,"continuation rp",0,502,0.5,0.5
"15523","Native 4",41,"continuation","rp",4,887,-0.5,"continuation rp",0,887,-0.5,0.5
"15524","Native 4",30,"continuation","rp",1,688,-0.5,"continuation rp",0,688,0.5,-0.5
"15525","Native 4",42,"continuation","rp",1,919,-0.5,"continuation rp",0,919,0.5,-0.5
"15526","Native 4",44,"continuation","rp",3,975,-0.5,"continuation rp",0,975,0.5,0.5
"15527","Native 4",43,"continuation","rp",2,1193,-0.5,"continuation rp",0,1193,-0.5,-0.5
"15528","Native 4",31,"continuation","rp",2,925,-0.5,"continuation rp",0,925,-0.5,-0.5
"15531","Native 4",32,"continuation","rp",3,0,-0.5,"continuation rp",1,NA,0.5,0.5
"15534","Native 4",25,"continuation","rp",4,703,-0.5,"continuation rp",0,703,-0.5,0.5
"15535","Native 4",34,"continuation","rp",1,1241,-0.5,"continuation rp",0,1241,0.5,-0.5
"15542","Native 4",28,"continuation","rp",3,803,-0.5,"continuation rp",0,803,0.5,0.5
"15544","Native 4",29,"continuation","rp",4,720,-0.5,"continuation rp",0,720,-0.5,0.5
"15549","Native 5",46,"continuation","rp",2,304,-0.5,"continuation rp",0,304,-0.5,-0.5
"15550","Native 5",32,"continuation","rp",4,761,-0.5,"continuation rp",0,761,-0.5,0.5
"15551","Native 5",45,"continuation","rp",1,888,-0.5,"continuation rp",0,888,0.5,-0.5
"15552","Native 5",33,"continuation","rp",1,603,-0.5,"continuation rp",0,603,0.5,-0.5
"15555","Native 5",26,"continuation","rp",2,452,-0.5,"continuation rp",0,452,-0.5,-0.5
"15557","Native 5",47,"continuation","rp",3,450,-0.5,"continuation rp",0,450,0.5,0.5
"15559","Native 5",39,"continuation","rp",3,320,-0.5,"continuation rp",0,320,0.5,0.5
"15560","Native 5",44,"continuation","rp",4,440,-0.5,"continuation rp",0,440,-0.5,0.5
"15561","Native 5",28,"continuation","rp",4,371,-0.5,"continuation rp",0,371,-0.5,0.5
"15562","Native 5",48,"continuation","rp",4,225,-0.5,"continuation rp",0,225,-0.5,0.5
"15563","Native 5",29,"continuation","rp",1,1812,-0.5,"continuation rp",0,1812,0.5,-0.5
"15564","Native 5",35,"continuation","rp",3,568,-0.5,"continuation rp",0,568,0.5,0.5
"15566","Native 5",25,"continuation","rp",1,153,-0.5,"continuation rp",0,153,0.5,-0.5
"15567","Native 5",31,"continuation","rp",3,329,-0.5,"continuation rp",0,329,0.5,0.5
"15568","Native 5",42,"continuation","rp",2,620,-0.5,"continuation rp",0,620,-0.5,-0.5
"15569","Native 5",43,"continuation","rp",3,293,-0.5,"continuation rp",0,293,0.5,0.5
"15574","Native 5",37,"continuation","rp",1,553,-0.5,"continuation rp",0,553,0.5,-0.5
"15576","Native 5",27,"continuation","rp",3,262,-0.5,"continuation rp",0,262,0.5,0.5
"15577","Native 5",36,"continuation","rp",4,463,-0.5,"continuation rp",0,463,-0.5,0.5
"15579","Native 5",40,"continuation","rp",4,259,-0.5,"continuation rp",0,259,-0.5,0.5
"15580","Native 5",41,"continuation","rp",1,420,-0.5,"continuation rp",0,420,0.5,-0.5
"15581","Native 5",34,"continuation","rp",2,486,-0.5,"continuation rp",0,486,-0.5,-0.5
"15584","Native 5",38,"continuation","rp",2,409,-0.5,"continuation rp",0,409,-0.5,-0.5
"15592","Native 5",30,"continuation","rp",2,445,-0.5,"continuation rp",0,445,-0.5,-0.5
"15594","Native 6",40,"continuation","rp",1,1058,-0.5,"continuation rp",0,1058,0.5,-0.5
"15595","Native 6",45,"continuation","rp",2,310,-0.5,"continuation rp",0,310,-0.5,-0.5
"15598","Native 6",35,"continuation","rp",4,416,-0.5,"continuation rp",0,416,-0.5,0.5
"15600","Native 6",36,"continuation","rp",1,313,-0.5,"continuation rp",0,313,0.5,-0.5
"15601","Native 6",39,"continuation","rp",4,364,-0.5,"continuation rp",0,364,-0.5,0.5
"15602","Native 6",25,"continuation","rp",2,363,-0.5,"continuation rp",0,363,-0.5,-0.5
"15603","Native 6",46,"continuation","rp",3,323,-0.5,"continuation rp",0,323,0.5,0.5
"15604","Native 6",26,"continuation","rp",3,416,-0.5,"continuation rp",0,416,0.5,0.5
"15605","Native 6",34,"continuation","rp",3,744,-0.5,"continuation rp",0,744,0.5,0.5
"15606","Native 6",41,"continuation","rp",2,326,-0.5,"continuation rp",0,326,-0.5,-0.5
"15608","Native 6",30,"continuation","rp",3,323,-0.5,"continuation rp",0,323,0.5,0.5
"15613","Native 6",33,"continuation","rp",2,825,-0.5,"continuation rp",0,825,-0.5,-0.5
"15614","Native 6",42,"continuation","rp",3,661,-0.5,"continuation rp",0,661,0.5,0.5
"15616","Native 6",29,"continuation","rp",2,740,-0.5,"continuation rp",0,740,-0.5,-0.5
"15618","Native 6",47,"continuation","rp",4,279,-0.5,"continuation rp",0,279,-0.5,0.5
"15622","Native 6",27,"continuation","rp",4,370,-0.5,"continuation rp",0,370,-0.5,0.5
"15623","Native 6",28,"continuation","rp",1,1670,-0.5,"continuation rp",0,1670,0.5,-0.5
"15624","Native 6",48,"continuation","rp",1,302,-0.5,"continuation rp",0,302,0.5,-0.5
"15628","Native 6",37,"continuation","rp",2,1624,-0.5,"continuation rp",0,1624,-0.5,-0.5
"15632","Native 6",38,"continuation","rp",3,533,-0.5,"continuation rp",0,533,0.5,0.5
"15633","Native 6",44,"continuation","rp",1,335,-0.5,"continuation rp",0,335,0.5,-0.5
"15634","Native 6",31,"continuation","rp",4,852,-0.5,"continuation rp",0,852,-0.5,0.5
"15637","Native 6",32,"continuation","rp",1,895,-0.5,"continuation rp",0,895,0.5,-0.5
"15639","Native 6",43,"continuation","rp",4,308,-0.5,"continuation rp",0,308,-0.5,0.5
"15641","Native 7",42,"continuation","rp",4,808,-0.5,"continuation rp",0,808,-0.5,0.5
"15642","Native 7",40,"continuation","rp",2,916,-0.5,"continuation rp",0,916,-0.5,-0.5
"15643","Native 7",27,"continuation","rp",1,1037,-0.5,"continuation rp",0,1037,0.5,-0.5
"15646","Native 7",46,"continuation","rp",4,506,-0.5,"continuation rp",0,506,-0.5,0.5
"15650","Native 7",41,"continuation","rp",3,1588,-0.5,"continuation rp",0,1588,0.5,0.5
"15651","Native 7",48,"continuation","rp",2,1270,-0.5,"continuation rp",0,1270,-0.5,-0.5
"15652","Native 7",26,"continuation","rp",4,1020,-0.5,"continuation rp",0,1020,-0.5,0.5
"15653","Native 7",38,"continuation","rp",4,361,-0.5,"continuation rp",0,361,-0.5,0.5
"15654","Native 7",37,"continuation","rp",3,595,-0.5,"continuation rp",0,595,0.5,0.5
"15656","Native 7",47,"continuation","rp",1,575,-0.5,"continuation rp",0,575,0.5,-0.5
"15659","Native 7",35,"continuation","rp",1,856,-0.5,"continuation rp",0,856,0.5,-0.5
"15660","Native 7",39,"continuation","rp",1,1265,-0.5,"continuation rp",0,1265,0.5,-0.5
"15665","Native 7",25,"continuation","rp",3,272,-0.5,"continuation rp",0,272,0.5,0.5
"15666","Native 7",34,"continuation","rp",4,596,-0.5,"continuation rp",0,596,-0.5,0.5
"15669","Native 7",33,"continuation","rp",3,355,-0.5,"continuation rp",0,355,0.5,0.5
