"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"9597","Native 1",45,"disamb","rp",1,2462,-0.5,"disamb rp",0,2462,0.5,-0.5
"9598","Native 1",29,"disamb","rp",1,1303,-0.5,"disamb rp",0,1303,0.5,-0.5
"9601","Native 1",34,"disamb","rp",2,0,-0.5,"disamb rp",1,NA,-0.5,-0.5
"9604","Native 1",36,"disamb","rp",4,357,-0.5,"disamb rp",0,357,-0.5,0.5
"9606","Native 1",25,"disamb","rp",1,448,-0.5,"disamb rp",0,448,0.5,-0.5
"9608","Native 1",42,"disamb","rp",2,181,-0.5,"disamb rp",0,181,-0.5,-0.5
"9612","Native 1",41,"disamb","rp",1,756,-0.5,"disamb rp",0,756,0.5,-0.5
"9614","Native 1",46,"disamb","rp",2,388,-0.5,"disamb rp",0,388,-0.5,-0.5
"9616","Native 1",47,"disamb","rp",3,431,-0.5,"disamb rp",0,431,0.5,0.5
"9618","Native 1",39,"disamb","rp",3,802,-0.5,"disamb rp",0,802,0.5,0.5
"9619","Native 1",35,"disamb","rp",3,297,-0.5,"disamb rp",0,297,0.5,0.5
"9621","Native 1",48,"disamb","rp",4,744,-0.5,"disamb rp",0,744,-0.5,0.5
"9622","Native 1",27,"disamb","rp",3,291,-0.5,"disamb rp",0,291,0.5,0.5
"9624","Native 1",31,"disamb","rp",3,1423,-0.5,"disamb rp",0,1423,0.5,0.5
"9627","Native 1",40,"disamb","rp",4,0,-0.5,"disamb rp",1,NA,-0.5,0.5
"9628","Native 1",38,"disamb","rp",2,1021,-0.5,"disamb rp",0,1021,-0.5,-0.5
"9629","Native 1",30,"disamb","rp",2,456,-0.5,"disamb rp",0,456,-0.5,-0.5
"9631","Native 1",32,"disamb","rp",4,515,-0.5,"disamb rp",0,515,-0.5,0.5
"9635","Native 1",44,"disamb","rp",4,686,-0.5,"disamb rp",0,686,-0.5,0.5
"9636","Native 1",37,"disamb","rp",1,361,-0.5,"disamb rp",0,361,0.5,-0.5
"9637","Native 1",28,"disamb","rp",4,857,-0.5,"disamb rp",0,857,-0.5,0.5
"9640","Native 1",26,"disamb","rp",2,614,-0.5,"disamb rp",0,614,-0.5,-0.5
