"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"17273","Native 1",45,"spillover","rp",1,524,-0.5,"spillover rp",0,524,0.5,-0.5
"17274","Native 1",29,"spillover","rp",1,335,-0.5,"spillover rp",0,335,0.5,-0.5
"17277","Native 1",34,"spillover","rp",2,547,-0.5,"spillover rp",0,547,-0.5,-0.5
"17280","Native 1",36,"spillover","rp",4,383,-0.5,"spillover rp",0,383,-0.5,0.5
"17282","Native 1",25,"spillover","rp",1,892,-0.5,"spillover rp",0,892,0.5,-0.5
"17284","Native 1",42,"spillover","rp",2,328,-0.5,"spillover rp",0,328,-0.5,-0.5
"17288","Native 1",41,"spillover","rp",1,257,-0.5,"spillover rp",0,257,0.5,-0.5
"17290","Native 1",46,"spillover","rp",2,312,-0.5,"spillover rp",0,312,-0.5,-0.5
"17292","Native 1",47,"spillover","rp",3,0,-0.5,"spillover rp",1,NA,0.5,0.5
"17294","Native 1",39,"spillover","rp",3,787,-0.5,"spillover rp",0,787,0.5,0.5
"17295","Native 1",35,"spillover","rp",3,715,-0.5,"spillover rp",0,715,0.5,0.5
"17297","Native 1",48,"spillover","rp",4,459,-0.5,"spillover rp",0,459,-0.5,0.5
"17298","Native 1",27,"spillover","rp",3,312,-0.5,"spillover rp",0,312,0.5,0.5
"17300","Native 1",31,"spillover","rp",3,310,-0.5,"spillover rp",0,310,0.5,0.5
"17303","Native 1",40,"spillover","rp",4,1448,-0.5,"spillover rp",0,1448,-0.5,0.5
"17304","Native 1",38,"spillover","rp",2,560,-0.5,"spillover rp",0,560,-0.5,-0.5
"17305","Native 1",30,"spillover","rp",2,772,-0.5,"spillover rp",0,772,-0.5,-0.5
"17307","Native 1",32,"spillover","rp",4,606,-0.5,"spillover rp",0,606,-0.5,0.5
"17311","Native 1",44,"spillover","rp",4,261,-0.5,"spillover rp",0,261,-0.5,0.5
"17312","Native 1",37,"spillover","rp",1,177,-0.5,"spillover rp",0,177,0.5,-0.5
"17313","Native 1",28,"spillover","rp",4,484,-0.5,"spillover rp",0,484,-0.5,0.5
"17316","Native 1",26,"spillover","rp",2,867,-0.5,"spillover rp",0,867,-0.5,-0.5
"17317","Native 1",33,"spillover","rp",1,1399,-0.5,"spillover rp",0,1399,0.5,-0.5
"17319","Native 1",43,"spillover","rp",3,0,-0.5,"spillover rp",1,NA,0.5,0.5
"17320","Native 2",45,"spillover","rp",2,1600,-0.5,"spillover rp",0,1600,-0.5,-0.5
"17321","Native 2",39,"spillover","rp",4,170,-0.5,"spillover rp",0,170,-0.5,0.5
"17322","Native 2",48,"spillover","rp",1,209,-0.5,"spillover rp",0,209,0.5,-0.5
"17328","Native 2",32,"spillover","rp",1,1385,-0.5,"spillover rp",0,1385,0.5,-0.5
"17329","Native 2",26,"spillover","rp",3,449,-0.5,"spillover rp",0,449,0.5,0.5
"17330","Native 2",42,"spillover","rp",3,0,-0.5,"spillover rp",1,NA,0.5,0.5
"17333","Native 2",37,"spillover","rp",2,168,-0.5,"spillover rp",0,168,-0.5,-0.5
"17334","Native 2",31,"spillover","rp",4,0,-0.5,"spillover rp",1,NA,-0.5,0.5
"17337","Native 2",25,"spillover","rp",2,0,-0.5,"spillover rp",1,NA,-0.5,-0.5
"17338","Native 2",38,"spillover","rp",3,195,-0.5,"spillover rp",0,195,0.5,0.5
"17339","Native 2",35,"spillover","rp",4,184,-0.5,"spillover rp",0,184,-0.5,0.5
