"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"5758","Native 1",6,"continuation","fp",2,270,-0.5,"continuation fp",0,270,-0.5,-0.5
"5761","Native 1",1,"continuation","fp",1,132,-0.5,"continuation fp",0,132,0.5,-0.5
"5762","Native 1",16,"continuation","fp",4,225,-0.5,"continuation fp",0,225,-0.5,0.5
"5764","Native 1",13,"continuation","fp",1,311,-0.5,"continuation fp",0,311,0.5,-0.5
"5765","Native 1",3,"continuation","fp",3,0,-0.5,"continuation fp",1,NA,0.5,0.5
"5767","Native 1",10,"continuation","fp",2,989,-0.5,"continuation fp",0,989,-0.5,-0.5
"5769","Native 1",7,"continuation","fp",3,373,-0.5,"continuation fp",0,373,0.5,0.5
"5771","Native 1",20,"continuation","fp",4,375,-0.5,"continuation fp",0,375,-0.5,0.5
"5772","Native 1",4,"continuation","fp",4,405,-0.5,"continuation fp",0,405,-0.5,0.5
"5773","Native 1",8,"continuation","fp",4,197,-0.5,"continuation fp",0,197,-0.5,0.5
"5775","Native 1",15,"continuation","fp",3,176,-0.5,"continuation fp",0,176,0.5,0.5
"5777","Native 1",22,"continuation","fp",2,397,-0.5,"continuation fp",0,397,-0.5,-0.5
"5779","Native 1",19,"continuation","fp",3,270,-0.5,"continuation fp",0,270,0.5,0.5
"5782","Native 1",12,"continuation","fp",4,564,-0.5,"continuation fp",0,564,-0.5,0.5
"5785","Native 1",23,"continuation","fp",3,548,-0.5,"continuation fp",0,548,0.5,0.5
"5787","Native 1",17,"continuation","fp",1,265,-0.5,"continuation fp",0,265,0.5,-0.5
"5788","Native 1",21,"continuation","fp",1,198,-0.5,"continuation fp",0,198,0.5,-0.5
"5792","Native 1",24,"continuation","fp",4,755,-0.5,"continuation fp",0,755,-0.5,0.5
"5794","Native 1",14,"continuation","fp",2,270,-0.5,"continuation fp",0,270,-0.5,-0.5
"5795","Native 1",11,"continuation","fp",3,321,-0.5,"continuation fp",0,321,0.5,0.5
"5796","Native 1",9,"continuation","fp",1,240,-0.5,"continuation fp",0,240,0.5,-0.5
"5800","Native 1",5,"continuation","fp",1,174,-0.5,"continuation fp",0,174,0.5,-0.5
"5801","Native 1",2,"continuation","fp",2,410,-0.5,"continuation fp",0,410,-0.5,-0.5
"5804","Native 1",18,"continuation","fp",2,312,-0.5,"continuation fp",0,312,-0.5,-0.5
"5809","Native 2",20,"continuation","fp",1,201,-0.5,"continuation fp",0,201,0.5,-0.5
"5810","Native 2",5,"continuation","fp",2,169,-0.5,"continuation fp",0,169,-0.5,-0.5
"5811","Native 2",12,"continuation","fp",1,188,-0.5,"continuation fp",0,188,0.5,-0.5
"5812","Native 2",2,"continuation","fp",3,0,-0.5,"continuation fp",1,NA,0.5,0.5
"5813","Native 2",9,"continuation","fp",2,212,-0.5,"continuation fp",0,212,-0.5,-0.5
"5817","Native 2",16,"continuation","fp",1,177,-0.5,"continuation fp",0,177,0.5,-0.5
"5818","Native 2",1,"continuation","fp",2,182,-0.5,"continuation fp",0,182,-0.5,-0.5
"5821","Native 2",13,"continuation","fp",2,166,-0.5,"continuation fp",0,166,-0.5,-0.5
"5822","Native 2",10,"continuation","fp",3,236,-0.5,"continuation fp",0,236,0.5,0.5
"5827","Native 2",7,"continuation","fp",4,227,-0.5,"continuation fp",0,227,-0.5,0.5
"5830","Native 2",24,"continuation","fp",1,244,-0.5,"continuation fp",0,244,0.5,-0.5
"5833","Native 2",23,"continuation","fp",4,987,-0.5,"continuation fp",0,987,-0.5,0.5
"5834","Native 2",4,"continuation","fp",1,154,-0.5,"continuation fp",0,154,0.5,-0.5
"5837","Native 2",19,"continuation","fp",4,180,-0.5,"continuation fp",0,180,-0.5,0.5
"5838","Native 2",22,"continuation","fp",3,424,-0.5,"continuation fp",0,424,0.5,0.5
"5841","Native 2",8,"continuation","fp",1,217,-0.5,"continuation fp",0,217,0.5,-0.5
"5842","Native 2",3,"continuation","fp",4,369,-0.5,"continuation fp",0,369,-0.5,0.5
"5843","Native 2",17,"continuation","fp",2,168,-0.5,"continuation fp",0,168,-0.5,-0.5
"5846","Native 2",21,"continuation","fp",2,241,-0.5,"continuation fp",0,241,-0.5,-0.5
"5847","Native 2",14,"continuation","fp",3,320,-0.5,"continuation fp",0,320,0.5,0.5
"5848","Native 2",18,"continuation","fp",3,296,-0.5,"continuation fp",0,296,0.5,0.5
"5850","Native 2",6,"continuation","fp",3,761,-0.5,"continuation fp",0,761,0.5,0.5
"5852","Native 2",11,"continuation","fp",4,148,-0.5,"continuation fp",0,148,-0.5,0.5
"5853","Native 2",15,"continuation","fp",4,0,-0.5,"continuation fp",1,NA,-0.5,0.5
"5856","Native 3",18,"continuation","fp",4,422,-0.5,"continuation fp",0,422,-0.5,0.5
"5859","Native 3",4,"continuation","fp",2,192,-0.5,"continuation fp",0,192,-0.5,-0.5
"5863","Native 3",15,"continuation","fp",1,210,-0.5,"continuation fp",0,210,0.5,-0.5
"5864","Native 3",10,"continuation","fp",4,360,-0.5,"continuation fp",0,360,-0.5,0.5
"5865","Native 3",23,"continuation","fp",1,182,-0.5,"continuation fp",0,182,0.5,-0.5
"5866","Native 3",17,"continuation","fp",3,349,-0.5,"continuation fp",0,349,0.5,0.5
"5868","Native 3",9,"continuation","fp",3,612,-0.5,"continuation fp",0,612,0.5,0.5
"5869","Native 3",22,"continuation","fp",4,258,-0.5,"continuation fp",0,258,-0.5,0.5
"5878","Native 3",13,"continuation","fp",3,351,-0.5,"continuation fp",0,351,0.5,0.5
"5879","Native 3",1,"continuation","fp",3,395,-0.5,"continuation fp",0,395,0.5,0.5
"5880","Native 3",5,"continuation","fp",3,372,-0.5,"continuation fp",0,372,0.5,0.5
"5882","Native 3",11,"continuation","fp",1,260,-0.5,"continuation fp",0,260,0.5,-0.5
"5883","Native 3",16,"continuation","fp",2,770,-0.5,"continuation fp",0,770,-0.5,-0.5
"5884","Native 3",6,"continuation","fp",4,353,-0.5,"continuation fp",0,353,-0.5,0.5
"5885","Native 3",21,"continuation","fp",3,202,-0.5,"continuation fp",0,202,0.5,0.5
"5886","Native 3",3,"continuation","fp",1,255,-0.5,"continuation fp",0,255,0.5,-0.5
"5888","Native 3",7,"continuation","fp",1,195,-0.5,"continuation fp",0,195,0.5,-0.5
"5893","Native 3",14,"continuation","fp",4,418,-0.5,"continuation fp",0,418,-0.5,0.5
"5894","Native 3",19,"continuation","fp",1,278,-0.5,"continuation fp",0,278,0.5,-0.5
"5895","Native 3",20,"continuation","fp",2,342,-0.5,"continuation fp",0,342,-0.5,-0.5
"5897","Native 3",8,"continuation","fp",2,179,-0.5,"continuation fp",0,179,-0.5,-0.5
"5898","Native 3",2,"continuation","fp",4,494,-0.5,"continuation fp",0,494,-0.5,0.5
"5900","Native 3",24,"continuation","fp",2,350,-0.5,"continuation fp",0,350,-0.5,-0.5
"5901","Native 3",12,"continuation","fp",2,159,-0.5,"continuation fp",0,159,-0.5,-0.5
"5902","Native 4",5,"continuation","fp",4,173,-0.5,"continuation fp",0,173,-0.5,0.5
"5903","Native 4",10,"continuation","fp",1,135,-0.5,"continuation fp",0,135,0.5,-0.5
"5906","Native 4",12,"continuation","fp",3,296,-0.5,"continuation fp",0,296,0.5,0.5
"5907","Native 4",14,"continuation","fp",1,122,-0.5,"continuation fp",0,122,0.5,-0.5
"5910","Native 4",11,"continuation","fp",2,155,-0.5,"continuation fp",0,155,-0.5,-0.5
"5912","Native 4",18,"continuation","fp",1,214,-0.5,"continuation fp",0,214,0.5,-0.5
"5913","Native 4",7,"continuation","fp",2,212,-0.5,"continuation fp",0,212,-0.5,-0.5
"5915","Native 4",20,"continuation","fp",3,391,-0.5,"continuation fp",0,391,0.5,0.5
"5916","Native 4",22,"continuation","fp",1,297,-0.5,"continuation fp",0,297,0.5,-0.5
"5919","Native 4",16,"continuation","fp",3,497,-0.5,"continuation fp",0,497,0.5,0.5
"5920","Native 4",17,"continuation","fp",4,406,-0.5,"continuation fp",0,406,-0.5,0.5
"5924","Native 4",2,"continuation","fp",1,0,-0.5,"continuation fp",1,NA,0.5,-0.5
"5925","Native 4",8,"continuation","fp",3,161,-0.5,"continuation fp",0,161,0.5,0.5
"5934","Native 4",23,"continuation","fp",2,212,-0.5,"continuation fp",0,212,-0.5,-0.5
"5935","Native 4",4,"continuation","fp",3,264,-0.5,"continuation fp",0,264,0.5,0.5
"5937","Native 4",21,"continuation","fp",4,221,-0.5,"continuation fp",0,221,-0.5,0.5
"5938","Native 4",9,"continuation","fp",4,506,-0.5,"continuation fp",0,506,-0.5,0.5
"5941","Native 4",3,"continuation","fp",2,162,-0.5,"continuation fp",0,162,-0.5,-0.5
"5942","Native 4",1,"continuation","fp",4,154,-0.5,"continuation fp",0,154,-0.5,0.5
"5943","Native 4",19,"continuation","fp",2,619,-0.5,"continuation fp",0,619,-0.5,-0.5
"5944","Native 4",13,"continuation","fp",4,382,-0.5,"continuation fp",0,382,-0.5,0.5
"5945","Native 4",6,"continuation","fp",1,442,-0.5,"continuation fp",0,442,0.5,-0.5
"5946","Native 4",24,"continuation","fp",3,172,-0.5,"continuation fp",0,172,0.5,0.5
"5948","Native 4",15,"continuation","fp",2,1067,-0.5,"continuation fp",0,1067,-0.5,-0.5
"5950","Native 5",13,"continuation","fp",1,248,-0.5,"continuation fp",0,248,0.5,-0.5
"5951","Native 5",6,"continuation","fp",2,241,-0.5,"continuation fp",0,241,-0.5,-0.5
"5952","Native 5",21,"continuation","fp",1,196,-0.5,"continuation fp",0,196,0.5,-0.5
"5953","Native 5",24,"continuation","fp",4,268,-0.5,"continuation fp",0,268,-0.5,0.5
"5958","Native 5",11,"continuation","fp",3,150,-0.5,"continuation fp",0,150,0.5,0.5
"5959","Native 5",18,"continuation","fp",2,139,-0.5,"continuation fp",0,139,-0.5,-0.5
"5961","Native 5",16,"continuation","fp",4,142,-0.5,"continuation fp",0,142,-0.5,0.5
"5963","Native 5",7,"continuation","fp",3,194,-0.5,"continuation fp",0,194,0.5,0.5
