"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"15353","Native 1",6,"continuation","rp",2,270,-0.5,"continuation rp",0,270,-0.5,-0.5
"15356","Native 1",1,"continuation","rp",1,132,-0.5,"continuation rp",0,132,0.5,-0.5
"15357","Native 1",16,"continuation","rp",4,225,-0.5,"continuation rp",0,225,-0.5,0.5
"15359","Native 1",13,"continuation","rp",1,311,-0.5,"continuation rp",0,311,0.5,-0.5
"15360","Native 1",3,"continuation","rp",3,0,-0.5,"continuation rp",1,NA,0.5,0.5
"15362","Native 1",10,"continuation","rp",2,989,-0.5,"continuation rp",0,989,-0.5,-0.5
"15364","Native 1",7,"continuation","rp",3,373,-0.5,"continuation rp",0,373,0.5,0.5
"15366","Native 1",20,"continuation","rp",4,375,-0.5,"continuation rp",0,375,-0.5,0.5
"15367","Native 1",4,"continuation","rp",4,405,-0.5,"continuation rp",0,405,-0.5,0.5
"15368","Native 1",8,"continuation","rp",4,197,-0.5,"continuation rp",0,197,-0.5,0.5
"15370","Native 1",15,"continuation","rp",3,585,-0.5,"continuation rp",0,585,0.5,0.5
"15372","Native 1",22,"continuation","rp",2,397,-0.5,"continuation rp",0,397,-0.5,-0.5
"15374","Native 1",19,"continuation","rp",3,654,-0.5,"continuation rp",0,654,0.5,0.5
"15377","Native 1",12,"continuation","rp",4,564,-0.5,"continuation rp",0,564,-0.5,0.5
"15380","Native 1",23,"continuation","rp",3,548,-0.5,"continuation rp",0,548,0.5,0.5
"15382","Native 1",17,"continuation","rp",1,265,-0.5,"continuation rp",0,265,0.5,-0.5
"15383","Native 1",21,"continuation","rp",1,198,-0.5,"continuation rp",0,198,0.5,-0.5
"15387","Native 1",24,"continuation","rp",4,939,-0.5,"continuation rp",0,939,-0.5,0.5
"15389","Native 1",14,"continuation","rp",2,460,-0.5,"continuation rp",0,460,-0.5,-0.5
"15390","Native 1",11,"continuation","rp",3,321,-0.5,"continuation rp",0,321,0.5,0.5
"15391","Native 1",9,"continuation","rp",1,240,-0.5,"continuation rp",0,240,0.5,-0.5
"15395","Native 1",5,"continuation","rp",1,174,-0.5,"continuation rp",0,174,0.5,-0.5
"15396","Native 1",2,"continuation","rp",2,410,-0.5,"continuation rp",0,410,-0.5,-0.5
"15399","Native 1",18,"continuation","rp",2,312,-0.5,"continuation rp",0,312,-0.5,-0.5
"15404","Native 2",20,"continuation","rp",1,201,-0.5,"continuation rp",0,201,0.5,-0.5
"15405","Native 2",5,"continuation","rp",2,169,-0.5,"continuation rp",0,169,-0.5,-0.5
"15406","Native 2",12,"continuation","rp",1,188,-0.5,"continuation rp",0,188,0.5,-0.5
"15407","Native 2",2,"continuation","rp",3,0,-0.5,"continuation rp",1,NA,0.5,0.5
"15408","Native 2",9,"continuation","rp",2,212,-0.5,"continuation rp",0,212,-0.5,-0.5
"15412","Native 2",16,"continuation","rp",1,177,-0.5,"continuation rp",0,177,0.5,-0.5
"15413","Native 2",1,"continuation","rp",2,182,-0.5,"continuation rp",0,182,-0.5,-0.5
"15416","Native 2",13,"continuation","rp",2,166,-0.5,"continuation rp",0,166,-0.5,-0.5
"15417","Native 2",10,"continuation","rp",3,236,-0.5,"continuation rp",0,236,0.5,0.5
"15422","Native 2",7,"continuation","rp",4,227,-0.5,"continuation rp",0,227,-0.5,0.5
"15425","Native 2",24,"continuation","rp",1,244,-0.5,"continuation rp",0,244,0.5,-0.5
"15428","Native 2",23,"continuation","rp",4,987,-0.5,"continuation rp",0,987,-0.5,0.5
"15429","Native 2",4,"continuation","rp",1,154,-0.5,"continuation rp",0,154,0.5,-0.5
"15432","Native 2",19,"continuation","rp",4,180,-0.5,"continuation rp",0,180,-0.5,0.5
"15433","Native 2",22,"continuation","rp",3,424,-0.5,"continuation rp",0,424,0.5,0.5
"15436","Native 2",8,"continuation","rp",1,217,-0.5,"continuation rp",0,217,0.5,-0.5
"15437","Native 2",3,"continuation","rp",4,369,-0.5,"continuation rp",0,369,-0.5,0.5
"15438","Native 2",17,"continuation","rp",2,168,-0.5,"continuation rp",0,168,-0.5,-0.5
"15441","Native 2",21,"continuation","rp",2,486,-0.5,"continuation rp",0,486,-0.5,-0.5
"15442","Native 2",14,"continuation","rp",3,320,-0.5,"continuation rp",0,320,0.5,0.5
