"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"9596","Native 1",6,"disamb","rp",2,407,-0.5,"disamb rp",0,407,-0.5,-0.5
"9599","Native 1",1,"disamb","rp",1,1786,-0.5,"disamb rp",0,1786,0.5,-0.5
"9600","Native 1",16,"disamb","rp",4,882,-0.5,"disamb rp",0,882,-0.5,0.5
"9602","Native 1",13,"disamb","rp",1,547,-0.5,"disamb rp",0,547,0.5,-0.5
"9603","Native 1",3,"disamb","rp",3,186,-0.5,"disamb rp",0,186,0.5,0.5
"9605","Native 1",10,"disamb","rp",2,211,-0.5,"disamb rp",0,211,-0.5,-0.5
"9607","Native 1",7,"disamb","rp",3,362,-0.5,"disamb rp",0,362,0.5,0.5
"9609","Native 1",20,"disamb","rp",4,0,-0.5,"disamb rp",1,NA,-0.5,0.5
"9610","Native 1",4,"disamb","rp",4,158,-0.5,"disamb rp",0,158,-0.5,0.5
"9611","Native 1",8,"disamb","rp",4,384,-0.5,"disamb rp",0,384,-0.5,0.5
"9613","Native 1",15,"disamb","rp",3,277,-0.5,"disamb rp",0,277,0.5,0.5
"9615","Native 1",22,"disamb","rp",2,222,-0.5,"disamb rp",0,222,-0.5,-0.5
"9617","Native 1",19,"disamb","rp",3,421,-0.5,"disamb rp",0,421,0.5,0.5
"9620","Native 1",12,"disamb","rp",4,177,-0.5,"disamb rp",0,177,-0.5,0.5
"9623","Native 1",23,"disamb","rp",3,0,-0.5,"disamb rp",1,NA,0.5,0.5
"9625","Native 1",17,"disamb","rp",1,360,-0.5,"disamb rp",0,360,0.5,-0.5
"9626","Native 1",21,"disamb","rp",1,656,-0.5,"disamb rp",0,656,0.5,-0.5
"9630","Native 1",24,"disamb","rp",4,398,-0.5,"disamb rp",0,398,-0.5,0.5
"9632","Native 1",14,"disamb","rp",2,536,-0.5,"disamb rp",0,536,-0.5,-0.5
"9633","Native 1",11,"disamb","rp",3,1144,-0.5,"disamb rp",0,1144,0.5,0.5
"9634","Native 1",9,"disamb","rp",1,444,-0.5,"disamb rp",0,444,0.5,-0.5
"9638","Native 1",5,"disamb","rp",1,347,-0.5,"disamb rp",0,347,0.5,-0.5
"9639","Native 1",2,"disamb","rp",2,188,-0.5,"disamb rp",0,188,-0.5,-0.5
"9642","Native 1",18,"disamb","rp",2,350,-0.5,"disamb rp",0,350,-0.5,-0.5
"9647","Native 2",20,"disamb","rp",1,0,-0.5,"disamb rp",1,NA,0.5,-0.5
"9648","Native 2",5,"disamb","rp",2,295,-0.5,"disamb rp",0,295,-0.5,-0.5
"9649","Native 2",12,"disamb","rp",1,189,-0.5,"disamb rp",0,189,0.5,-0.5
"9650","Native 2",2,"disamb","rp",3,754,-0.5,"disamb rp",0,754,0.5,0.5
"9651","Native 2",9,"disamb","rp",2,366,-0.5,"disamb rp",0,366,-0.5,-0.5
"9655","Native 2",16,"disamb","rp",1,180,-0.5,"disamb rp",0,180,0.5,-0.5
