"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"17272","Native 1",6,"spillover","rp",2,462,-0.5,"spillover rp",0,462,-0.5,-0.5
"17275","Native 1",1,"spillover","rp",1,284,-0.5,"spillover rp",0,284,0.5,-0.5
"17276","Native 1",16,"spillover","rp",4,211,-0.5,"spillover rp",0,211,-0.5,0.5
"17278","Native 1",13,"spillover","rp",1,190,-0.5,"spillover rp",0,190,0.5,-0.5
"17279","Native 1",3,"spillover","rp",3,448,-0.5,"spillover rp",0,448,0.5,0.5
"17281","Native 1",10,"spillover","rp",2,138,-0.5,"spillover rp",0,138,-0.5,-0.5
"17283","Native 1",7,"spillover","rp",3,447,-0.5,"spillover rp",0,447,0.5,0.5
"17285","Native 1",20,"spillover","rp",4,326,-0.5,"spillover rp",0,326,-0.5,0.5
"17286","Native 1",4,"spillover","rp",4,323,-0.5,"spillover rp",0,323,-0.5,0.5
"17287","Native 1",8,"spillover","rp",4,1373,-0.5,"spillover rp",0,1373,-0.5,0.5
"17289","Native 1",15,"spillover","rp",3,899,-0.5,"spillover rp",0,899,0.5,0.5
"17291","Native 1",22,"spillover","rp",2,646,-0.5,"spillover rp",0,646,-0.5,-0.5
"17293","Native 1",19,"spillover","rp",3,263,-0.5,"spillover rp",0,263,0.5,0.5
"17296","Native 1",12,"spillover","rp",4,396,-0.5,"spillover rp",0,396,-0.5,0.5
"17299","Native 1",23,"spillover","rp",3,706,-0.5,"spillover rp",0,706,0.5,0.5
"17301","Native 1",17,"spillover","rp",1,367,-0.5,"spillover rp",0,367,0.5,-0.5
"17302","Native 1",21,"spillover","rp",1,252,-0.5,"spillover rp",0,252,0.5,-0.5
"17306","Native 1",24,"spillover","rp",4,952,-0.5,"spillover rp",0,952,-0.5,0.5
"17308","Native 1",14,"spillover","rp",2,377,-0.5,"spillover rp",0,377,-0.5,-0.5
"17309","Native 1",11,"spillover","rp",3,822,-0.5,"spillover rp",0,822,0.5,0.5
"17310","Native 1",9,"spillover","rp",1,0,-0.5,"spillover rp",1,NA,0.5,-0.5
"17314","Native 1",5,"spillover","rp",1,854,-0.5,"spillover rp",0,854,0.5,-0.5
"17315","Native 1",2,"spillover","rp",2,187,-0.5,"spillover rp",0,187,-0.5,-0.5
"17318","Native 1",18,"spillover","rp",2,481,-0.5,"spillover rp",0,481,-0.5,-0.5
"17323","Native 2",20,"spillover","rp",1,1990,-0.5,"spillover rp",0,1990,0.5,-0.5
"17324","Native 2",5,"spillover","rp",2,206,-0.5,"spillover rp",0,206,-0.5,-0.5
"17325","Native 2",12,"spillover","rp",1,179,-0.5,"spillover rp",0,179,0.5,-0.5
"17326","Native 2",2,"spillover","rp",3,1913,-0.5,"spillover rp",0,1913,0.5,0.5
"17327","Native 2",9,"spillover","rp",2,791,-0.5,"spillover rp",0,791,-0.5,-0.5
"17331","Native 2",16,"spillover","rp",1,260,-0.5,"spillover rp",0,260,0.5,-0.5
"17332","Native 2",1,"spillover","rp",2,892,-0.5,"spillover rp",0,892,-0.5,-0.5
"17335","Native 2",13,"spillover","rp",2,225,-0.5,"spillover rp",0,225,-0.5,-0.5
"17336","Native 2",10,"spillover","rp",3,982,-0.5,"spillover rp",0,982,0.5,0.5
"17341","Native 2",7,"spillover","rp",4,445,-0.5,"spillover rp",0,445,-0.5,0.5
"17344","Native 2",24,"spillover","rp",1,506,-0.5,"spillover rp",0,506,0.5,-0.5
"17347","Native 2",23,"spillover","rp",4,515,-0.5,"spillover rp",0,515,-0.5,0.5
"17348","Native 2",4,"spillover","rp",1,203,-0.5,"spillover rp",0,203,0.5,-0.5
"17351","Native 2",19,"spillover","rp",4,186,-0.5,"spillover rp",0,186,-0.5,0.5
"17352","Native 2",22,"spillover","rp",3,399,-0.5,"spillover rp",0,399,0.5,0.5
"17355","Native 2",8,"spillover","rp",1,218,-0.5,"spillover rp",0,218,0.5,-0.5
"17356","Native 2",3,"spillover","rp",4,702,-0.5,"spillover rp",0,702,-0.5,0.5
"17357","Native 2",17,"spillover","rp",2,797,-0.5,"spillover rp",0,797,-0.5,-0.5
"17360","Native 2",21,"spillover","rp",2,463,-0.5,"spillover rp",0,463,-0.5,-0.5
"17361","Native 2",14,"spillover","rp",3,624,-0.5,"spillover rp",0,624,0.5,0.5
"17362","Native 2",18,"spillover","rp",3,382,-0.5,"spillover rp",0,382,0.5,0.5
"17364","Native 2",6,"spillover","rp",3,125,-0.5,"spillover rp",0,125,0.5,0.5
"17366","Native 2",11,"spillover","rp",4,0,-0.5,"spillover rp",1,NA,-0.5,0.5
"17367","Native 2",15,"spillover","rp",4,420,-0.5,"spillover rp",0,420,-0.5,0.5
"17370","Native 3",18,"spillover","rp",4,716,-0.5,"spillover rp",0,716,-0.5,0.5
"17373","Native 3",4,"spillover","rp",2,753,-0.5,"spillover rp",0,753,-0.5,-0.5
"17377","Native 3",15,"spillover","rp",1,425,-0.5,"spillover rp",0,425,0.5,-0.5
"17378","Native 3",10,"spillover","rp",4,1079,-0.5,"spillover rp",0,1079,-0.5,0.5
"17379","Native 3",23,"spillover","rp",1,874,-0.5,"spillover rp",0,874,0.5,-0.5
"17380","Native 3",17,"spillover","rp",3,598,-0.5,"spillover rp",0,598,0.5,0.5
"17382","Native 3",9,"spillover","rp",3,822,-0.5,"spillover rp",0,822,0.5,0.5
"17383","Native 3",22,"spillover","rp",4,422,-0.5,"spillover rp",0,422,-0.5,0.5
"17392","Native 3",13,"spillover","rp",3,874,-0.5,"spillover rp",0,874,0.5,0.5
"17393","Native 3",1,"spillover","rp",3,681,-0.5,"spillover rp",0,681,0.5,0.5
"17394","Native 3",5,"spillover","rp",3,1391,-0.5,"spillover rp",0,1391,0.5,0.5
"17396","Native 3",11,"spillover","rp",1,881,-0.5,"spillover rp",0,881,0.5,-0.5
"17397","Native 3",16,"spillover","rp",2,185,-0.5,"spillover rp",0,185,-0.5,-0.5
"17398","Native 3",6,"spillover","rp",4,572,-0.5,"spillover rp",0,572,-0.5,0.5
"17399","Native 3",21,"spillover","rp",3,263,-0.5,"spillover rp",0,263,0.5,0.5
"17400","Native 3",3,"spillover","rp",1,944,-0.5,"spillover rp",0,944,0.5,-0.5
"17402","Native 3",7,"spillover","rp",1,1494,-0.5,"spillover rp",0,1494,0.5,-0.5
"17407","Native 3",14,"spillover","rp",4,396,-0.5,"spillover rp",0,396,-0.5,0.5
"17408","Native 3",19,"spillover","rp",1,433,-0.5,"spillover rp",0,433,0.5,-0.5
"17409","Native 3",20,"spillover","rp",2,800,-0.5,"spillover rp",0,800,-0.5,-0.5
"17411","Native 3",8,"spillover","rp",2,398,-0.5,"spillover rp",0,398,-0.5,-0.5
"17412","Native 3",2,"spillover","rp",4,708,-0.5,"spillover rp",0,708,-0.5,0.5
"17414","Native 3",24,"spillover","rp",2,429,-0.5,"spillover rp",0,429,-0.5,-0.5
"17415","Native 3",12,"spillover","rp",2,754,-0.5,"spillover rp",0,754,-0.5,-0.5
"17416","Native 4",5,"spillover","rp",4,568,-0.5,"spillover rp",0,568,-0.5,0.5
"17417","Native 4",10,"spillover","rp",1,590,-0.5,"spillover rp",0,590,0.5,-0.5
"17420","Native 4",12,"spillover","rp",3,550,-0.5,"spillover rp",0,550,0.5,0.5
"17421","Native 4",14,"spillover","rp",1,579,-0.5,"spillover rp",0,579,0.5,-0.5
"17424","Native 4",11,"spillover","rp",2,1144,-0.5,"spillover rp",0,1144,-0.5,-0.5
"17426","Native 4",18,"spillover","rp",1,982,-0.5,"spillover rp",0,982,0.5,-0.5
"17427","Native 4",7,"spillover","rp",2,901,-0.5,"spillover rp",0,901,-0.5,-0.5
"17429","Native 4",20,"spillover","rp",3,591,-0.5,"spillover rp",0,591,0.5,0.5
"17430","Native 4",22,"spillover","rp",1,351,-0.5,"spillover rp",0,351,0.5,-0.5
"17433","Native 4",16,"spillover","rp",3,579,-0.5,"spillover rp",0,579,0.5,0.5
"17434","Native 4",17,"spillover","rp",4,460,-0.5,"spillover rp",0,460,-0.5,0.5
"17438","Native 4",2,"spillover","rp",1,5793,-0.5,"spillover rp",0,5793,0.5,-0.5
"17439","Native 4",8,"spillover","rp",3,744,-0.5,"spillover rp",0,744,0.5,0.5
"17448","Native 4",23,"spillover","rp",2,846,-0.5,"spillover rp",0,846,-0.5,-0.5
"17449","Native 4",4,"spillover","rp",3,1335,-0.5,"spillover rp",0,1335,0.5,0.5
"17451","Native 4",21,"spillover","rp",4,251,-0.5,"spillover rp",0,251,-0.5,0.5
"17452","Native 4",9,"spillover","rp",4,1257,-0.5,"spillover rp",0,1257,-0.5,0.5
"17455","Native 4",3,"spillover","rp",2,1214,-0.5,"spillover rp",0,1214,-0.5,-0.5
"17456","Native 4",1,"spillover","rp",4,345,-0.5,"spillover rp",0,345,-0.5,0.5
"17457","Native 4",19,"spillover","rp",2,557,-0.5,"spillover rp",0,557,-0.5,-0.5
